CustomerID,Country,CustomerName,City,Gender,Age,CustomerSince
17850.0,United Kingdom,54cde5dbb6,Amberport,Female,42,2024-12-01 08:26:00
13047.0,United Kingdom,86314fa849,West Joshua,Other,26,2024-12-01 08:26:00
12583.0,France,dcff63cd99,East Shannonbury,Female,52,2024-12-01 08:26:00
13748.0,United Kingdom,590354e49f,Malcolmberg,Female,33,2024-12-01 08:26:00
15100.0,United Kingdom,58ec7997a6,Port Raymond,Other,62,2024-12-01 08:26:00
15291.0,United Kingdom,d5b6f32b6b,Port Lydiafurt,Female,34,2024-12-01 08:26:00
14688.0,United Kingdom,b0755d1213,Abbottchester,Female,24,2024-12-01 08:26:00
17809.0,United Kingdom,800c13fb97,South Garymouth,Female,20,2024-12-01 08:26:00
15311.0,United Kingdom,40d0615e20,Hardyberg,Other,20,2024-12-01 08:26:00
14527.0,United Kingdom,84781149a3,Jonesborough,Other,26,2024-12-01 08:26:00
16098.0,United Kingdom,468867e488,North Bethanytown,Other,31,2024-12-01 08:26:00
18074.0,United Kingdom,7b65a8a9df,Thompsonmouth,Male,21,2024-12-01 08:26:00
17420.0,United Kingdom,b34c3a942e,Arnoldbury,Male,64,2024-12-01 08:26:00
16029.0,United Kingdom,c8d736864a,Georginafurt,Male,61,2024-12-01 08:26:00
16250.0,United Kingdom,35fb97b83e,South Tom,Male,55,2024-12-01 08:26:00
12431.0,Australia,dc9ed09a2e,Jasontown,Female,26,2024-12-01 08:26:00
17511.0,United Kingdom,66ad5b9404,Bellstad,Male,23,2024-12-01 08:26:00
17548.0,United Kingdom,523b8f3d85,Port Cameron,Other,51,2024-12-01 08:26:00
13705.0,United Kingdom,445aa05836,East Chelsea,Female,57,2024-12-01 08:26:00
13747.0,United Kingdom,227e94735a,East Richardport,Female,33,2024-12-01 08:26:00
13408.0,United Kingdom,24f928bcd9,Port Eric,Male,64,2024-12-01 08:26:00
13767.0,United Kingdom,da7d59242b,Patriciaberg,Male,21,2024-12-01 08:26:00
17924.0,United Kingdom,b22026febd,South Christian,Female,65,2024-12-01 08:26:00
13448.0,United Kingdom,89ab47b81c,East Albert,Female,58,2024-12-01 08:26:00
15862.0,United Kingdom,bc44fcf148,South Jean,Other,61,2024-12-01 08:26:00
15513.0,United Kingdom,f364c45034,West Yvonnebury,Male,26,2024-12-01 08:26:00
12791.0,Netherlands,b156800522,East Dana,Female,61,2024-12-01 08:26:00
16218.0,United Kingdom,e6a4720324,Savagestad,Male,40,2024-12-01 08:26:00
14045.0,United Kingdom,bf90063c06,North Francis,Female,73,2024-12-01 08:26:00
