CustomerID,Country,CustomerName,City,Gender,Age,CustomerSince
17850.0,United Kingdom,54cde5dbb6,North Henrybury,Other,71,2024-12-01 08:26:00
13047.0,United Kingdom,86314fa849,East Timothy,Male,69,2024-12-01 08:26:00
12583.0,France,dcff63cd99,New Roberttown,Male,74,2024-12-01 08:26:00
13748.0,United Kingdom,590354e49f,East Donaldhaven,Other,49,2024-12-01 08:26:00
15100.0,United Kingdom,58ec7997a6,New Joeside,Female,52,2024-12-01 08:26:00
15291.0,United Kingdom,d5b6f32b6b,Quinnshire,Male,37,2024-12-01 08:26:00
14688.0,United Kingdom,b0755d1213,Thomasburgh,Male,29,2024-12-01 08:26:00
17809.0,United Kingdom,800c13fb97,Cookberg,Male,49,2024-12-01 08:26:00
15311.0,United Kingdom,40d0615e20,Port Tom,Other,20,2024-12-01 08:26:00
14527.0,United Kingdom,84781149a3,North Jessicaville,Male,23,2024-12-01 08:26:00
16098.0,United Kingdom,468867e488,Leighview,Other,21,2024-12-01 08:26:00
18074.0,United Kingdom,7b65a8a9df,Lake Kellyside,Other,32,2024-12-01 08:26:00
17420.0,United Kingdom,b34c3a942e,South Jasonside,Other,56,2024-12-01 08:26:00
16029.0,United Kingdom,c8d736864a,Teresastad,Male,32,2024-12-01 08:26:00
16250.0,United Kingdom,35fb97b83e,Lake Brian,Other,19,2024-12-01 08:26:00
12431.0,Australia,dc9ed09a2e,Lake Jeremyport,Female,51,2024-12-01 08:26:00
17511.0,United Kingdom,66ad5b9404,Port Donaldville,Male,48,2024-12-01 08:26:00
17548.0,United Kingdom,523b8f3d85,Whitestad,Male,18,2024-12-01 08:26:00
13705.0,United Kingdom,445aa05836,West Owen,Male,39,2024-12-01 08:26:00
13747.0,United Kingdom,227e94735a,Lake Vincent,Male,57,2024-12-01 08:26:00
13408.0,United Kingdom,24f928bcd9,New Heatherburgh,Male,30,2024-12-01 08:26:00
13767.0,United Kingdom,da7d59242b,East Bethany,Other,69,2024-12-01 08:26:00
17924.0,United Kingdom,b22026febd,Dixonside,Other,26,2024-12-01 08:26:00
13448.0,United Kingdom,89ab47b81c,Lake Victor,Male,39,2024-12-01 08:26:00
15862.0,United Kingdom,bc44fcf148,East Ryanmouth,Other,63,2024-12-01 08:26:00
15513.0,United Kingdom,f364c45034,Phillipsborough,Male,29,2024-12-01 08:26:00
12791.0,Netherlands,b156800522,Jasonfort,Other,69,2024-12-01 08:26:00
16218.0,United Kingdom,e6a4720324,Youngmouth,Other,72,2024-12-01 08:26:00
14045.0,United Kingdom,bf90063c06,West Bradley,Other,73,2024-12-01 08:26:00
14307.0,United Kingdom,1943b9be23,Lake Chelsea,Other,38,2024-12-01 08:26:00
17908.0,United Kingdom,5ddbc6ba1f,Fionachester,Female,21,2024-12-01 08:26:00
17920.0,United Kingdom,f38fa67672,Evansberg,Male,19,2024-12-01 08:26:00
,United Kingdom,9b2d5b4678,Greenton,Female,27,2024-12-01 08:26:00
12838.0,United Kingdom,5352aa4b65,East Teresaburgh,Other,55,2024-12-01 08:26:00
13255.0,United Kingdom,f091f23fa1,Andersonfurt,Female,63,2024-12-01 08:26:00
16583.0,United Kingdom,afd243baef,Wrightmouth,Male,27,2024-12-01 08:26:00
